Customer,Country,Region,Segment,Salesperson,Emp ID,Order ID,Order Date,Required Date,Shipped Date,Shipper,Product Name,Unit Price,Quantity,Subtotal,Profit
Alfreds Futterkiste,Germany,Europe,Small Business,Janet Leverling,1015,11011,09-Apr-2007,07-May-2007,13-Apr-2007,Speedy Shipping,Escargots de Bourgogne,13.25,40,530,318
Alfreds Futterkiste,Germany,Europe,Small Business,Janet Leverling,1015,11011,09-Apr-2007,07-May-2007,13-Apr-2007,Global Shippers,Fløtemysost,21.5,20,430,258
Alfreds Futterkiste,Germany,Europe,Small Business,Margaret Peacock,1025,10692,03-Oct-2007,31-Oct-2007,13-Oct-2007,Speedy Shipping,Vegie-spread,43.9,20,878,526.8
Alfreds Futterkiste,Germany,Europe,Small Business,Margaret Peacock,1025,10702,13-Oct-2007,24-Nov-2007,21-Oct-2007,Global Shippers,Aniseed Syrup,10,6,60,36
Alfreds Futterkiste,Germany,Europe,Small Business,Margaret Peacock,1025,10702,13-Oct-2007,24-Nov-2007,21-Oct-2007,Speedy Shipping,Lakkalikööri,18,15,270,162
Alfreds Futterkiste,Germany,Europe,Small Business,Michael Suyama,1030,10643,25-Aug-2007,22-Sep-2007,02-Sep-2007,Anywhere Delivery,Rössle Sauerkraut,45.6,15,684,410.4
Alfreds Futterkiste,Germany,Europe,Small Business,Michael Suyama,1030,10643,25-Aug-2007,22-Sep-2007,02-Sep-2007,Anywhere Delivery,Chartreuse verte,18,21,378,226.8
Alfreds Futterkiste,Germany,Europe,Small Business,Michael Suyama,1030,10643,25-Aug-2007,22-Sep-2007,02-Sep-2007,Global Shippers,Spegesild,12,2,24,14.4
Alfreds Futterkiste,Germany,Europe,Small Business,Nancy Davolio,1035,10835,15-Jan-2007,12-Feb-2007,21-Jan-2007,Speedy Shipping,Raclette Courdavault,55,15,825,495
Alfreds Futterkiste,Germany,Europe,Small Business,Nancy Davolio,1035,10835,15-Jan-2007,12-Feb-2007,21-Jan-2007,Speedy Shipping,Original Frankfurter grüne Soße,13,2,26,15.6
